year,month,a,b,total_precip,huff_type,station,a/b,log_ab
2001,6,0.7280205809842571,0.9016043489981241,38.7,Q1,Andong,0.8074723483679335,-0.42100545322572047
2001,6,1.0437699881459235,0.7486221267790609,59.59999999999999,Q4,Andong,1.39425479265051,-0.24668177908344585
2001,6,2.424730715146255,2.758271806646798,68.4,Q2,Andong,0.8790760610695487,1.9003247995218027
2001,7,1.2423435668697156,1.720719038020606,16.2,Q2,Andong,0.721990946470157,0.7597418179761758
2001,7,1.4990386112842204,2.235853114506877,93.3,Q2,Andong,0.6704548709206406,1.2094468387654376
2001,9,2.5595142310668533,2.327787342314367,48.0,Q3,Andong,1.099548135063788,1.7847356648901092
2001,9,1.3605260280569729,2.117940572480343,33.0,Q2,Andong,0.6423815879137941,1.0583155987683701
2001,9,1.3641872874183747,2.3722711322490966,21.3,Q2,Andong,0.5750553842153024,1.1744066374227302
2001,10,2.1878277866219187,1.5663497846655117,13.700000000000001,Q3,Andong,1.3967683387456917,1.2316571078192595
2001,10,1.7583928970453295,2.641110591881693,23.1,Q2,Andong,0.6657778369638585,1.535599772657938
2001,10,3.1002902778211006,1.4940823415607039,37.3,Q4,Andong,2.075046462688641,1.5330079451391367
2002,4,0.7975696560496331,0.6689698619514837,18.0,Q4,Andong,1.1922355571041794,-0.6282023743969098
2002,4,2.181132704753097,2.368150891394117,38.5,Q2,Andong,0.9210277574285296,1.6419537672170637
2002,4,1.2996789082501168,1.254558308098277,65.9,Q2,Andong,1.035965327287367,0.4889008052036645
2002,5,1.416345861031339,2.530226560333214,13.0,Q2,Andong,0.5597703712527687,1.2763890658565344
2002,5,1.565028128077763,1.2246829320238901,59.5,Q3,Andong,1.2779047434681108,0.650585776536488
2002,6,2.4565162994317182,2.094449120402243,17.9,Q3,Andong,1.1728698852135113,1.638034776938269
2002,7,1.5364675713182532,0.8670347067124442,39.5,Q4,Andong,1.7720946571379055,0.2868097246203561
2002,7,0.9057908494229814,0.8964068195692422,34.0,Q3,Andong,1.0104684944925437,-0.2083077794699782
2002,7,2.0590467841110924,1.6047125569408995,18.0,Q3,Andong,1.2831249903324125,1.1951877978454262
2002,8,1.0846830454449319,1.3379784662566445,74.5,Q2,Andong,0.810687969052017,0.37244768789993976
2002,8,2.267490285790944,2.2927285865293308,85.0,Q3,Andong,0.9889920242253393,1.6484162496610288
2002,8,2.756122376049666,4.504040601538228,43.0,Q2,Andong,0.6119221871819696,2.518799661014811
2002,8,3.5092104205511263,2.866162792405299,53.4,Q3,Andong,1.224358375542995,2.30836518981328
2002,8,1.8070532175262317,1.4648270273444228,17.5,Q3,Andong,1.2336290796069136,0.9734346273641822
2002,8,0.46680831968459163,0.9219803796732668,22.0,Q1,Andong,0.5063104703486424,-0.8430678917580444
2002,8,2.111901290317575,2.307221710780748,52.5,Q3,Andong,0.9153438876071092,1.5836327052894341
2002,8,2.740253395775533,2.131792256427226,100.0,Q3,Andong,1.2854223424040654,1.7650134571897658
2002,9,0.8286292171299371,0.9671130140537143,18.5,Q1,Andong,0.8568070174722251,-0.22142240869092747
2002,9,0.16043970563375576,0.3289257190274484,12.0,Q1,Andong,0.4877688072192594,-2.9417604045659838
2002,10,0.9832573978422848,1.1033926025352323,10.5,Q3,Andong,0.8911219774204427,0.08150527375649906
2003,4,1.1913734398712545,1.274233385580803,18.5,Q3,Andong,0.9349727085734922,0.41745152432157323
2003,4,1.2079764280989267,2.9118083469847895,19.5,Q1,Andong,0.4148543736917988,1.2577208994185727
2003,4,1.2233191823745837,1.1832971726889845,18.5,Q3,Andong,1.0338224501919928,0.36987256185155404
2003,4,1.229301307863405,1.033826152318083,19.5,Q3,Andong,1.1890793293505106,0.23971259632982686
2003,4,1.453967070844869,1.557364277191973,64.0,Q3,Andong,0.9336075651269364,0.8172905580006466
2003,4,1.6500573359231312,1.316019286007505,36.5,Q3,Andong,1.2538245856024037,0.7754215241697193
2003,5,0.8865252666035396,1.2041367117464739,55.0,Q1,Andong,0.7362330688495725,0.06531723605553512
2003,5,0.8373913309087415,0.8513157913727065,31.0,Q4,Andong,0.9836436013462025,-0.33843591438931353
